genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
['soundtrack'],https://api.spotify.com/v1/artists/0JnNzCUsHuDcUcBatOzuGP,0JnNzCUsHuDcUcBatOzuGP,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb8286adc45dea01a8747f2ba3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051748286adc45dea01a8747f2ba3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1788286adc45dea01a8747f2ba3', 'width': 160}]",Sonya Belousova,55,artist,spotify:artist:0JnNzCUsHuDcUcBatOzuGP,https://open.spotify.com/artist/0JnNzCUsHuDcUcBatOzuGP,,25905
['geek folk'],https://api.spotify.com/v1/artists/330qBHhQR9hG8Rj5v0oOog,330qBHhQR9hG8Rj5v0oOog,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebe46f09aac5476f173f43d559', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174e46f09aac5476f173f43d559', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178e46f09aac5476f173f43d559', 'width': 160}]",Freya Catherine,32,artist,spotify:artist:330qBHhQR9hG8Rj5v0oOog,https://open.spotify.com/artist/330qBHhQR9hG8Rj5v0oOog,,14225
[],https://api.spotify.com/v1/artists/5M76Uwozk3WE3oYE8TNKoR,5M76Uwozk3WE3oYE8TNKoR,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb37a578e9ffc499f675a57094', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517437a578e9ffc499f675a57094', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17837a578e9ffc499f675a57094', 'width': 160}]",Matt Bellamy,33,artist,spotify:artist:5M76Uwozk3WE3oYE8TNKoR,https://open.spotify.com/artist/5M76Uwozk3WE3oYE8TNKoR,,35662
['anthem worship'],https://api.spotify.com/v1/artists/73jlPRxT7z5xk29sMqFDjU,73jlPRxT7z5xk29sMqFDjU,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3f4709dd278aff44955c0839', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743f4709dd278aff44955c0839', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783f4709dd278aff44955c0839', 'width': 160}]",Tommee Profitt,62,artist,spotify:artist:73jlPRxT7z5xk29sMqFDjU,https://open.spotify.com/artist/73jlPRxT7z5xk29sMqFDjU,,228250
"['adult standards', 'easy listening']",https://api.spotify.com/v1/artists/090VebphoycdEyH165iMqc,090VebphoycdEyH165iMqc,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebde2373604d3f33221eda2e64', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174de2373604d3f33221eda2e64', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178de2373604d3f33221eda2e64', 'width': 160}]",Shirley Bassey,49,artist,spotify:artist:090VebphoycdEyH165iMqc,https://open.spotify.com/artist/090VebphoycdEyH165iMqc,,276001
"['british soul', 'pop', 'pop soul', 'uk pop']",https://api.spotify.com/v1/artists/4dpARuHxo51G3z768sgnrY,4dpARuHxo51G3z768sgnrY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517468f6e5892075d7f22615bd17', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17868f6e5892075d7f22615bd17', 'width': 160}]",Adele,83,artist,spotify:artist:4dpARuHxo51G3z768sgnrY,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,,53169028
[],https://api.spotify.com/v1/artists/179MtpbgyNgeNnwNVqnn4p,179MtpbgyNgeNnwNVqnn4p,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb33286ae9d5ad8d63dfcd8ba4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517433286ae9d5ad8d63dfcd8ba4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17833286ae9d5ad8d63dfcd8ba4', 'width': 160}]",Avi Kaplan,45,artist,spotify:artist:179MtpbgyNgeNnwNVqnn4p,https://open.spotify.com/artist/179MtpbgyNgeNnwNVqnn4p,,161354
['fantasy'],https://api.spotify.com/v1/artists/7EIbKyiLnEJ1Y074UIUyZJ,7EIbKyiLnEJ1Y074UIUyZJ,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5c2b393e7d8a0a1bdb64b231', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745c2b393e7d8a0a1bdb64b231', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785c2b393e7d8a0a1bdb64b231', 'width': 160}]",Peter Hollens,50,artist,spotify:artist:7EIbKyiLnEJ1Y074UIUyZJ,https://open.spotify.com/artist/7EIbKyiLnEJ1Y074UIUyZJ,,304658
['epicore'],https://api.spotify.com/v1/artists/4mtNoMN4jglEdAWfrD5N9z,4mtNoMN4jglEdAWfrD5N9z,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273addf1b60ed6e2f39dcf054b4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02addf1b60ed6e2f39dcf054b4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851addf1b60ed6e2f39dcf054b4', 'width': 64}]",Xtortion Audio,28,artist,spotify:artist:4mtNoMN4jglEdAWfrD5N9z,https://open.spotify.com/artist/4mtNoMN4jglEdAWfrD5N9z,,7027
['norwegian indie'],https://api.spotify.com/v1/artists/2N0vFuOoMtAQfBmhsRo24e,2N0vFuOoMtAQfBmhsRo24e,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5ef9d79abe19142e47c43c54', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745ef9d79abe19142e47c43c54', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785ef9d79abe19142e47c43c54', 'width': 160}]",Kalandra,45,artist,spotify:artist:2N0vFuOoMtAQfBmhsRo24e,https://open.spotify.com/artist/2N0vFuOoMtAQfBmhsRo24e,,82962
[],https://api.spotify.com/v1/artists/4cDQO3NM8cURew5tdHkfrd,4cDQO3NM8cURew5tdHkfrd,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb3f8ad880bd175e124a29f938', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051743f8ad880bd175e124a29f938', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1783f8ad880bd175e124a29f938', 'width': 160}]",Lawless,28,artist,spotify:artist:4cDQO3NM8cURew5tdHkfrd,https://open.spotify.com/artist/4cDQO3NM8cURew5tdHkfrd,,13268
['fantasy'],https://api.spotify.com/v1/artists/2LrP1FcVqc0i5M09jNBzxI,2LrP1FcVqc0i5M09jNBzxI,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb748e96c4192b4283a25a2bc4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174748e96c4192b4283a25a2bc4', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178748e96c4192b4283a25a2bc4', 'width': 160}]",NATI.,44,artist,spotify:artist:2LrP1FcVqc0i5M09jNBzxI,https://open.spotify.com/artist/2LrP1FcVqc0i5M09jNBzxI,,84225
"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",https://api.spotify.com/v1/artists/0oSGxfWSnnOXhD2fKuz2Gy,0oSGxfWSnnOXhD2fKuz2Gy,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb78f77c5583ae99472dd4a49', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b78f77c5583ae99472dd4a49', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b78f77c5583ae99472dd4a49', 'width': 160}]",David Bowie,75,artist,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,https://open.spotify.com/artist/0oSGxfWSnnOXhD2fKuz2Gy,,10048710
